BaobabID,Latitude_DecDegSouth,Longitude_DecDegreesEast,Elevation_masl,NewDamage_cm,OldDamage_cm,DamageScars_cm,UndamagedUnscared_cm,TotalCircumference_cm
9H,3.80309,35.97494,1033,0.54,2.9,14.58,0,18.02
9I,3.79198,35.9858,1050,1.75,2.66,13.85,0,18.26
9J,3.7908,35.98798,1077,0.52,0.59,5.6,0,6.71
9K,3.78579,36.024137,978,0.29,0.74,13.34,0,14.37
9L,3.77648,36.03392,1033,0.46,2.62,8.23,0,11.31
9M,3.7849,36.033496,1049,0.68,2.48,14.27,0,17.43
9N,3.78687,36.03505,1054,0.16,1.27,8.52,0,9.95
9O,3.78809,36.03545,1053,0.69,2.37,6.85,0,9.91
10A,3.75387,35.95855,1019,0,0.7,12.11,0,12.81
10B,3.75822,35.95934,1021,0,3.27,12.75,0,16.02
10C,3.76805,35.95846,1017,1.52,2.06,14.28,0,17.86
10D,3.77416,35.95781,1029,0.46,2.34,12.5,0,15.3
10E,3.77574,35.959,997,2.65,1.16,11.55,0,15.36
10F,3.78567,35.9561,1032,0.63,0.22,5.8,0,6.65
10G,3.79279,35.95218,1004,0.07,0.23,10.95,0,11.25
10H,3.7899,35.95515,1023,0.73,1.08,12.26,0,14.07
10I,3.78678,35.95672,1035,0.23,0.74,17.23,0,18.2
10J,3.7859,36.03725,1038,0.79,1.42,5.51,0,7.72
10K,3.78772,36.03982,1048,0.18,3.29,14.21,0,17.68
10L,3.79168,36.03942,1053,0,5.5,6.35,0,11.85
11A,3.72324,35.96909,1015,0.08,0.21,9.7,0,9.99
11B,3.71845,35.96901,1017,0,0.04,13.14,0,13.18
11C,3.71719,35.97481,1017,0,0.5,25.16,0,25.66
11D,3.67397,36.00321,1033,0.49,0.59,7.26,0,8.34
11E,3.67607,36.00891,1026,1.47,0.36,4.33,0,6.16
11F,3.67542,36.018597,1027,0.38,1.15,24.62,0,26.15
11G,3.68366,36.02454,1042,0,0.2,14.44,0,14.64
11H,3.77314,36.09114,1115,1.75,0.37,6.22,0,8.34
11I,3.78517,36.07184,1101,1.46,1.8,11.3,0,14.56
11J,3.78462,36.05782,1078,0.77,1.45,7.41,0,9.63
11K,3.78689,36.0562,1072,0.47,3.69,6.09,0,10.25
11L,3.7929,36.05865,1066,1.11,2.1,5.61,0,8.82
11M,3.79159,36.05623,1059,5.17,4.08,10.88,0,20.13
11N,3.79289,36.05417,1053,0.96,1.37,3.88,0,6.21
11O,3.78689,36.05056,1054,2.06,5.19,6.38,0,13.63
11P,3.78444,36.04252,1066,0.56,1.39,9.96,0,11.91
12A,3.79026,36.03857,1051,2.13,2.95,15.57,0,20.65
12B,3.80802,36.04264,1082,0.88,1.93,18.98,0,21.79
12C,3.818397,36.05216,1065,0.99,1.66,14.23,0,16.88
12D,3.87191,36.05273,1085,1,4.44,18.8,0,24.24
12E,3.90585,36.05336,1103,3.68,2.13,2.23,0,8.04
12F,3.90704,36.04319,1121,0.41,0.98,9.67,0,11.06
13A,3.88335,36.08582,1115,0.05,1.29,16.72,0,18.06
13B,3.88492,36.10133,1155,0.2,1.91,6.13,0,8.24
13C,3.88339,36.1082,1202,0.05,0.04,17.04,0,17.13
13D,3.90434,36.13952,1280,2.12,0,5.54,0.36,8.02
13E,3.90646,36.15169,1219,0,0.14,7.86,0,8
13F,3.90344,36.15881,1220,0,0.42,10,0,10.42
13G,3.8898,36.15122,1249,0,0.11,8,0,8.11
13H,3.87615,36.15174,1262,0,0.83,15.71,0,16.54
13I,3.85607,36.13976,1364,0,0,11.93,0.23,12.16
13J,3.82312,36.13873,1317,0.41,0.9,4.81,0,6.12
13K,3.82275,36.12516,1264,0,0.52,6.78,0,7.3
13L,3.82232,36.10261,1172,1.82,0.85,15.93,0,18.6
13M,3.82137,36.08848,1135,0.61,0.94,3.65,0,5.2
13N,3.81679,36.05478,1050,0.58,2.25,18.57,0,21.4
13O,3.79075,36.04083,1051,0.82,1.53,8.31,0,10.66
14A,3.7853,35.96681,1003,0.78,1.65,18.48,0,20.91
14B,3.78397,35.97247,1018,0.78,1.65,18.48,0,20.91
14C,3.77629,35.97599,1023,0.23,1.21,9.8,0,11.24
14D,3.77337,35.97474,1022,0.65,3.98,7.03,0,11.66
14E,3.78436,35.99002,1034,0.34,0.74,14.19,0,15.27
14F,3.77421,35.99286,1050,0.06,0.58,4.48,0,5.12
14G,3.75934,36.02556,1076,0.42,0.26,8.13,0,8.81
14H,3.75688,36.02132,1075,0.86,1.61,4.88,0,7.35
14I,3.75762,36.0171,1066,0.97,6.01,7.72,0,14.7
14J,3.76869,36.00426,1062,0.96,7.57,14.2,0,22.73
